# Link to photo: http://imgsrc.hubblesite.org/hu/db/images/hs-1999-30-b-full_jpg.jpg
# Threshold for star brightness (r + g + b): 600
# Algorithm: count_and_location (as follows)
# 
# locations_and_brightness = {}
# xsize, ysize = bwpic.size
# temp = bwpic.load()
# count_result = 0
# for x in range(xsize):
# for y in range(ysize):
# 	if temp[x, y] == BLACK:
# 		count_result += 1
# 		filled = fill_list(temp, xsize, ysize, x, y)
# 		#brightest_of_star returns the brightest pixel of the
# 		#list of coordinates passed to it
# 		brightest_xy, max_brightness = brightest_of_star(picture, filled)
# 		locations_and_brightness[brightest_xy] = max_brightness
# 	return count_result, locations_and_brightness
# 
# Time to process image: 0.121000051498
# Number of stars counted: 320
# The following columns list the x and y coordinates of the brightest pixel of the star
# followed by the brightness of the star (r + g + b) in the format as follows:
# x y brightness
001 006 724
001 131 705
001 030 762
001 282 765
009 280 765
010 358 764
010 192 709
012 289 765
013 001 765
014 388 765
013 091 742
016 159 727
016 135 765
020 427 765
019 258 657
027 094 765
031 326 712
032 080 765
034 353 765
040 251 765
050 379 704
055 140 761
057 385 765
061 238 764
064 081 607
064 281 765
065 368 765
068 148 765
072 345 764
074 004 762
077 437 727
081 255 700
087 081 765
087 427 721
089 359 729
089 279 621
096 369 765
099 338 720
100 216 765
102 147 762
106 429 763
106 420 656
112 140 706
115 109 764
119 501 724
120 105 764
120 224 765
122 328 765
120 364 708
122 093 765
122 186 663
121 231 688
121 474 604
122 180 765
122 250 765
124 398 765
124 161 617
125 020 730
128 161 765
131 331 765
135 122 763
135 283 765
135 099 765
136 172 764
138 229 765
139 184 765
140 246 764
142 010 707
145 262 765
146 266 763
147 398 764
149 109 765
151 240 638
152 063 711
155 185 650
156 225 765
156 270 764
157 311 765
160 160 765
159 145 622
160 126 660
161 049 630
165 257 749
168 214 764
168 272 765
169 233 765
170 148 764
171 264 765
171 037 668
174 386 692
175 073 765
176 261 665
181 178 764
182 294 688
181 378 632
183 134 765
183 198 764
184 228 765
189 401 763
189 139 609
191 206 765
190 293 765
190 119 765
191 184 765
191 213 765
195 168 748
198 239 765
201 128 764
200 276 765
202 226 762
203 119 765
203 131 745
202 197 620
206 175 765
204 195 765
206 211 765
206 123 765
205 072 762
207 313 763
208 015 650
208 083 607
210 094 765
208 194 765
209 203 764
208 225 709
211 162 765
212 254 765
211 150 719
215 232 765
213 096 601
214 286 765
214 241 765
215 323 765
214 381 680
216 148 765
217 199 764
217 098 601
219 151 630
219 238 628
223 131 765
223 168 765
224 155 765
225 245 765
223 364 720
224 395 765
225 084 765
225 135 606
225 259 764
226 213 765
226 255 764
227 252 617
228 087 641
229 237 691
229 328 765
229 341 765
230 159 765
232 046 765
232 204 731
232 136 765
236 229 765
234 354 672
239 180 765
238 319 765
239 149 765
238 206 610
241 255 765
241 213 765
242 161 765
241 248 644
241 278 764
242 353 765
244 343 765
246 128 765
244 284 666
245 267 762
250 276 765
246 288 765
247 171 727
248 126 748
249 146 712
248 274 605
252 118 765
252 192 765
257 243 765
255 138 764
259 127 765
257 175 600
258 302 765
260 237 764
260 273 613
261 189 609
264 234 765
264 121 703
267 135 765
264 306 613
265 259 758
268 173 765
268 133 605
268 152 764
270 180 765
269 217 765
270 192 759
272 359 765
271 295 633
276 172 765
280 181 765
281 269 765
280 106 747
283 365 765
284 220 765
286 236 765
285 254 765
287 280 765
290 215 765
291 192 765
290 248 765
292 176 765
292 169 765
294 093 765
294 322 765
296 154 765
297 226 604
297 276 765
300 173 765
301 008 666
303 201 765
303 175 622
304 314 603
307 225 764
309 333 659
309 316 616
309 330 635
311 150 764
311 001 660
312 289 612
313 329 645
315 131 765
313 132 616
314 180 689
313 274 735
315 063 765
316 133 607
318 205 765
318 249 624
320 276 765
321 250 765
320 208 635
322 310 764
321 207 622
324 110 763
326 341 742
327 173 727
330 043 746
332 051 764
334 124 765
334 054 763
333 088 634
334 251 764
334 303 765
338 257 764
338 236 765
339 137 657
339 069 761
339 075 764
344 164 765
343 305 744
353 011 765
352 021 734
353 389 765
356 198 753
357 317 657
359 093 765
361 099 739
363 133 763
364 157 752
371 106 760
375 083 764
375 246 765
376 419 765
377 017 765
377 250 704
379 295 765
381 033 608
389 432 722
392 379 613
394 059 765
397 148 765
397 237 670
403 021 765
401 032 762
401 082 705
410 148 765
412 065 765
427 384 765
425 090 765
435 050 764
437 267 763
440 190 765
442 293 765
443 155 630
445 214 764
447 131 765
451 190 765
452 033 765
452 145 750
460 070 679
465 411 743
468 053 765
473 294 760
475 007 764
475 365 698
484 270 648
488 169 765
491 064 765
493 063 638
496 105 722
500 424 760
503 131 765
503 175 748
504 450 651
